file,forced_detection_method,resolved_detection_method,detection_success,usable_scan,quality_status,rejection_reason,binarization_method,benchmark_binarization_mode,overall_score,detection_confidence,sharpness,skew_angle,binarization_score
2.jpg,contour,fallback,0,0,rejected,conf<0.35,otsu_deshadow,otsu_deshadow,63.8,0.1,5149.62,0.0,48.09
2.jpg,threshold,fallback,0,0,rejected,conf<0.35,otsu_deshadow,otsu_deshadow,63.8,0.1,5149.62,0.0,48.09
2.jpg,hough,hough,1,1,accepted,,otsu_deshadow,otsu_deshadow,77.8,0.985,6825.03,0.0,49.77
2.jpg,corners,corners,1,1,accepted,,otsu_deshadow,otsu_deshadow,75.3,0.863,5841.84,-0.85,51.89
20260225_223207.jpg,contour,fallback,0,0,rejected,"score<60, conf<0.35",otsu_deshadow,otsu_deshadow,49.3,0.1,344.45,0.0,49.55
20260225_223207.jpg,threshold,fallback,0,0,rejected,"score<60, conf<0.35",otsu_deshadow,otsu_deshadow,49.3,0.1,344.45,0.0,49.55
20260225_223207.jpg,hough,hough,1,1,accepted,,otsu_deshadow,otsu_deshadow,62.4,0.979,414.85,-2.0,57.71
20260225_223207.jpg,corners,corners,1,0,rejected,score<60,otsu_deshadow,otsu_deshadow,43.8,0.792,399.92,-9.94,62.59
20260226_110018.jpg,contour,contour,1,1,accepted,,otsu_deshadow,otsu_deshadow,84.0,1.0,1037.44,0.0,55.0
20260226_110018.jpg,threshold,threshold,1,1,accepted,,otsu_deshadow,otsu_deshadow,83.8,1.0,1020.16,0.0,54.61
20260226_110018.jpg,hough,hough,1,1,accepted,,otsu_deshadow,otsu_deshadow,79.7,0.986,813.7,-0.98,66.4
20260226_110018.jpg,corners,corners,1,1,accepted,,otsu_deshadow,otsu_deshadow,71.7,0.667,2162.27,-7.03,72.57
20260226_133935.jpg,contour,fallback,0,0,rejected,conf<0.35,otsu_deshadow,otsu_deshadow,63.6,0.1,2270.23,-0.96,47.25
20260226_133935.jpg,threshold,threshold,1,1,accepted,,otsu_deshadow,otsu_deshadow,80.4,1.0,2477.24,-1.02,63.36
20260226_133935.jpg,hough,hough,1,1,accepted,,otsu_deshadow,otsu_deshadow,78.3,0.974,2463.38,-1.98,63.31
20260226_133935.jpg,corners,fallback,0,0,rejected,conf<0.35,otsu_deshadow,otsu_deshadow,63.6,0.1,2270.23,-0.96,47.25
20260226_134043.jpg,contour,fallback,0,0,rejected,"score<60, conf<0.35",otsu_deshadow,otsu_deshadow,44.3,0.1,165.95,0.0,48.48
20260226_134043.jpg,threshold,threshold,1,1,accepted,,otsu_deshadow,otsu_deshadow,61.1,1.0,296.73,-1.0,65.22
20260226_134043.jpg,hough,hough,1,0,rejected,"score<60, blurred",otsu_deshadow,otsu_deshadow,54.6,0.959,102.7,-1.0,60.93
20260226_134043.jpg,corners,corners,1,0,rejected,"score<60, skew>12deg",otsu_deshadow,otsu_deshadow,42.4,0.772,429.56,-15.04,63.79
20260226_134059.jpg,contour,fallback,0,0,rejected,"score<60, conf<0.35",otsu_deshadow,otsu_deshadow,43.9,0.1,213.13,0.97,54.34
20260226_134059.jpg,threshold,fallback,0,0,rejected,"score<60, conf<0.35",otsu_deshadow,otsu_deshadow,43.9,0.1,213.13,0.97,54.34
20260226_134059.jpg,hough,hough,1,0,rejected,score<60,otsu_deshadow,otsu_deshadow,57.2,0.926,276.47,-2.01,63.08
20260226_134059.jpg,corners,corners,1,0,rejected,"score<60, skew>12deg",otsu_deshadow,otsu_deshadow,41.4,0.743,425.99,-15.03,62.35
20260226_134128.jpg,contour,fallback,0,0,rejected,"score<60, conf<0.35",otsu_deshadow,otsu_deshadow,55.7,0.1,553.28,-2.01,57.56
20260226_134128.jpg,threshold,threshold,1,1,accepted,,otsu_deshadow,otsu_deshadow,79.4,0.996,782.18,-0.46,56.03
20260226_134128.jpg,hough,hough,1,1,accepted,,otsu_deshadow,otsu_deshadow,72.0,0.968,579.44,-1.01,69.73
20260226_134128.jpg,corners,corners,1,1,accepted,,otsu_deshadow,otsu_deshadow,78.3,0.58,1755.04,-1.02,63.26
20260226_153924.jpg,contour,fallback,0,0,rejected,"score<60, conf<0.35",otsu_deshadow,otsu_deshadow,52.3,0.1,495.35,-2.0,56.26
20260226_153924.jpg,threshold,threshold,1,1,accepted,,otsu_deshadow,otsu_deshadow,63.0,0.978,746.63,-7.99,70.13
20260226_153924.jpg,hough,hough,1,1,accepted,,otsu_deshadow,otsu_deshadow,68.0,0.979,623.11,3.07,66.8
20260226_153924.jpg,corners,fallback,0,0,rejected,"score<60, conf<0.35",otsu_deshadow,otsu_deshadow,52.3,0.1,495.35,-2.0,56.26
20260226_153936.jpg,contour,fallback,0,0,rejected,"score<60, conf<0.35",otsu_deshadow,otsu_deshadow,46.8,0.1,226.44,0.0,57.13
20260226_153936.jpg,threshold,threshold,1,0,rejected,score<60,otsu_deshadow,otsu_deshadow,57.8,1.0,202.08,-1.0,63.49
20260226_153936.jpg,hough,hough,1,1,accepted,,otsu_deshadow,otsu_deshadow,60.2,0.989,213.01,0.0,60.05
20260226_153936.jpg,corners,corners,1,0,rejected,score<60,otsu_deshadow,otsu_deshadow,39.1,0.862,257.62,9.99,57.87
3.jpg,contour,fallback,0,0,rejected,conf<0.35,otsu_deshadow,otsu_deshadow,64.7,0.1,2248.71,1.01,59.49
3.jpg,threshold,threshold,1,1,accepted,,otsu_deshadow,otsu_deshadow,77.6,1.0,4306.66,0.98,56.41
3.jpg,hough,hough,1,1,accepted,,otsu_deshadow,otsu_deshadow,75.5,0.995,4519.15,-1.89,47.5
3.jpg,corners,corners,1,0,rejected,binary<45,otsu_deshadow,otsu_deshadow,75.8,0.893,7059.73,0.0,30.72
4.jpg,contour,fallback,0,0,rejected,conf<0.35,otsu_deshadow,otsu_deshadow,66.5,0.1,3054.13,0.77,50.04
4.jpg,threshold,threshold,1,1,accepted,,otsu_deshadow,otsu_deshadow,78.3,1.0,4139.99,1.97,61.57
4.jpg,hough,hough,1,1,accepted,,otsu_deshadow,otsu_deshadow,77.2,0.973,4387.0,-1.97,55.32
4.jpg,corners,corners,1,1,accepted,,otsu_deshadow,otsu_deshadow,67.5,0.881,5353.15,6.75,58.63
5.jpg,contour,fallback,0,0,rejected,"score<60, conf<0.35",otsu_deshadow,otsu_deshadow,53.6,0.1,471.61,0.0,58.39
5.jpg,threshold,threshold,1,0,rejected,score<60,otsu_deshadow,otsu_deshadow,58.6,0.872,327.06,0.0,58.28
5.jpg,hough,hough,1,1,accepted,,otsu_deshadow,otsu_deshadow,63.7,0.99,356.27,0.0,57.42
5.jpg,corners,corners,1,0,rejected,"score<60, skew>12deg",otsu_deshadow,otsu_deshadow,37.5,0.786,301.41,-18.0,55.95
6.JPG,contour,fallback,0,0,rejected,"score<60, conf<0.35",otsu_deshadow,otsu_deshadow,49.2,0.1,354.56,0.0,61.47
6.JPG,threshold,threshold,1,0,rejected,score<60,otsu_deshadow,otsu_deshadow,51.1,1.0,329.77,-6.93,64.47
6.JPG,hough,hough,1,1,accepted,,otsu_deshadow,otsu_deshadow,62.2,0.975,302.46,-0.95,59.07
6.JPG,corners,corners,1,0,rejected,"score<60, skew>12deg",otsu_deshadow,otsu_deshadow,44.4,0.822,380.2,16.96,63.39
7.jpg,contour,fallback,0,0,rejected,conf<0.35,otsu_deshadow,otsu_deshadow,69.1,0.1,2065.1,0.0,63.99
7.jpg,threshold,threshold,1,1,accepted,,otsu_deshadow,otsu_deshadow,79.6,0.88,2161.08,0.42,66.07
7.jpg,hough,hough,1,1,accepted,,otsu_deshadow,otsu_deshadow,81.8,0.991,2668.82,0.0,71.35
7.jpg,corners,fallback,0,0,rejected,conf<0.35,otsu_deshadow,otsu_deshadow,69.1,0.1,2065.1,0.0,63.99
